file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
BvtaXGFoeRA_0_s2_f3_0134.npz,Euclidean,euclidean,0.5162121329988753,0.050942487801824296,35,35
BvtaXGFoeRA_0_s2_f4_0135.npz,Euclidean,euclidean,0.498906318630491,0.23976409009524755,7,7
CNbSq__q-BY_s0_f3_0151.npz,Euclidean,euclidean,0.21636192500591278,2.7718281745910645,1,1
CNbSq__q-BY_s1_f2_0152.npz,Euclidean,euclidean,0.6779217720031738,0.8340406715869904,2,2
CNbSq__q-BY_s1_f3_0153.npz,Euclidean,euclidean,0.4662763476371765,0.6307458281517029,3,3
CNbSq__q-BY_s2_f1_0154.npz,Euclidean,euclidean,0.6217762380838394,0.4334086403250694,4,4
CNbSq__q-BY_s2_f2_0155.npz,Euclidean,euclidean,0.5644892245531082,0.1795788899064064,10,10
CNbSq__q-BY_s2_f3_0156.npz,Euclidean,euclidean,0.29423600109294057,0.27426574379205704,8,8
DGC9d3n7Tpw_0_s0_f3_0157.npz,Euclidean,euclidean,0.47513630986213684,1.9647165536880493,1,1
DGC9d3n7Tpw_0_s1_f3_0158.npz,Euclidean,euclidean,0.49734368920326233,0.6221821308135986,3,3
DGC9d3n7Tpw_0_s2_f0_0159.npz,Euclidean,euclidean,0.31944523453712464,0.44793063402175903,5,5
DGC9d3n7Tpw_0_s2_f3_0160.npz,Euclidean,euclidean,0.33422567198673886,0.3486272046963374,6,6
ELZzyhWMdqA_0_s0_f0_0161.npz,Euclidean,euclidean,0.5339905023574829,2.1496639251708984,1,1
ELZzyhWMdqA_0_s0_f2_0162.npz,Euclidean,euclidean,0.22855496406555176,2.3240435123443604,1,1
ELZzyhWMdqA_0_s0_f3_0163.npz,Euclidean,euclidean,0.16203998029232025,2.9072463512420654,1,1
ELZzyhWMdqA_0_s0_f4_0164.npz,Euclidean,euclidean,0.2862498462200165,1.7156763076782227,1,1
ELZzyhWMdqA_0_s1_f1_0165.npz,Euclidean,euclidean,0.5963997840881348,1.1605347394943237,2,2
ELZzyhWMdqA_0_s1_f2_0166.npz,Euclidean,euclidean,0.3762885332107544,0.7131943305333456,3,3
ELZzyhWMdqA_0_s1_f3_0167.npz,Euclidean,euclidean,0.3734436556696892,0.4310635104775429,4,4
ELZzyhWMdqA_0_s1_f4_0168.npz,Euclidean,euclidean,0.3211946090062459,0.5701492230097452,3,3
ELZzyhWMdqA_0_s2_f0_0169.npz,Euclidean,euclidean,0.44815826416015625,0.4570476055145264,5,5
ELZzyhWMdqA_0_s2_f1_0170.npz,Euclidean,euclidean,0.45231449604034424,0.47504827976226804,5,5
ELZzyhWMdqA_0_s2_f2_0171.npz,Euclidean,euclidean,0.23563929816538637,0.20023917068134656,11,11
ELZzyhWMdqA_0_s2_f3_0172.npz,Euclidean,euclidean,0.21764925613322042,0.18497691235759042,11,11
ELZzyhWMdqA_0_s2_f4_0173.npz,Euclidean,euclidean,0.19782513093489867,0.15249419097716993,13,13
ELZzyhWMdqA_1_s0_f0_0174.npz,Euclidean,euclidean,0.3906790316104889,2.5754547119140625,1,1
ELZzyhWMdqA_1_s0_f2_0175.npz,Euclidean,euclidean,0.5202857851982117,2.538856267929077,1,1
ELZzyhWMdqA_1_s1_f0_0176.npz,Euclidean,euclidean,0.40825615184647696,0.33020723291805815,7,7
ELZzyhWMdqA_1_s1_f1_0177.npz,Euclidean,euclidean,0.3822123358647029,0.3730093389749527,6,6
ELZzyhWMdqA_1_s1_f2_0178.npz,Euclidean,euclidean,0.47878414392471313,0.45264639854431155,5,5
ELZzyhWMdqA_1_s1_f3_0179.npz,Euclidean,euclidean,0.43746018409729004,0.2272317722439766,10,10
ELZzyhWMdqA_1_s1_f4_0180.npz,Euclidean,euclidean,0.48714413245519,0.721503754456838,3,3
ELZzyhWMdqA_1_s2_f0_0181.npz,Euclidean,euclidean,0.32514404218930465,0.1774116949393199,13,13
ELZzyhWMdqA_1_s2_f1_0182.npz,Euclidean,euclidean,0.31458299121131067,0.10138084285933038,23,23
ELZzyhWMdqA_1_s2_f2_0183.npz,Euclidean,euclidean,0.30496117046901156,0.16807771793433599,14,14
ELZzyhWMdqA_1_s2_f3_0184.npz,Euclidean,euclidean,0.2887721389532089,0.23528920859098434,10,10
ELZzyhWMdqA_1_s2_f4_0185.npz,Euclidean,euclidean,0.3469017491890834,0.16574315612132734,13,13
EnpqqJXs0aY_2_s0_f2_0196.npz,Euclidean,euclidean,0.6415260434150696,0.8920302391052246,2,2
EnpqqJXs0aY_2_s0_f3_0197.npz,Euclidean,euclidean,0.509471595287323,1.8737359046936035,1,1
EnpqqJXs0aY_2_s0_f4_0198.npz,Euclidean,euclidean,0.6356161236763,1.623369812965393,1,1
EnpqqJXs0aY_2_s1_f0_0199.npz,Euclidean,euclidean,0.5780113637447357,0.4414455518126488,4,4
EnpqqJXs0aY_2_s1_f1_0200.npz,Euclidean,euclidean,0.6447595715522766,0.35095164775848386,5,5
EnpqqJXs0aY_2_s1_f2_0201.npz,Euclidean,euclidean,0.6109119355678558,0.28992174565792084,6,6
EnpqqJXs0aY_2_s1_f3_0202.npz,Euclidean,euclidean,0.5996594031651815,0.5897987286249796,3,3
EnpqqJXs0aY_2_s1_f4_0203.npz,Euclidean,euclidean,0.5988717317581177,0.34087268710136415,5,5
EnpqqJXs0aY_2_s2_f0_0204.npz,Euclidean,euclidean,0.4796155078543557,0.10261028135816257,18,18
EnpqqJXs0aY_2_s2_f1_0205.npz,Euclidean,euclidean,0.4882356759748961,0.09726419417481673,19,19
EnpqqJXs0aY_2_s2_f2_0206.npz,Euclidean,euclidean,0.5233658289208132,0.10529983394286212,17,17
EnpqqJXs0aY_2_s2_f3_0207.npz,Euclidean,euclidean,0.5016615846577812,0.10706402449046865,17,17
EnpqqJXs0aY_2_s2_f4_0208.npz,Euclidean,euclidean,0.5109555206515572,0.0822244377976114,22,22
